Year,Units,Вид экономической деятельности,Value
2010,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",11.893354325312052
2011,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",6.652223352888063
2012,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",6.872758703238776
2013,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",6.028746647997742
2014,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",7.071311560345701
2015,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",6.7927865197302095
2016,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",5.656054679431978
2017,м³/тыс.тенге,"сельским хозяйством, лесным хозяйством и рыболовством",5.710997605285666
2010,м³/тыс.тенге,обрабатывающей промышленностью,1.9649331702056851
2011,м³/тыс.тенге,обрабатывающей промышленностью,1.6520891278610954
2012,м³/тыс.тенге,обрабатывающей промышленностью,1.5247049484968345
2013,м³/тыс.тенге,обрабатывающей промышленностью,1.4305912865994137
2014,м³/тыс.тенге,обрабатывающей промышленностью,1.3659516663669895
2015,м³/тыс.тенге,обрабатывающей промышленностью,1.252793344727572
2016,м³/тыс.тенге,обрабатывающей промышленностью,0.2833576125835884
2017,м³/тыс.тенге,обрабатывающей промышленностью,0.2590459649982811
2010,м³/тыс.тенге,предприятиями электроэнергетики,1.919555542377959
2011,м³/тыс.тенге,предприятиями электроэнергетики,1.555591841098277
2012,м³/тыс.тенге,предприятиями электроэнергетики,1.4364932134854511
2013,м³/тыс.тенге,предприятиями электроэнергетики,1.2837797785212788
2014,м³/тыс.тенге,предприятиями электроэнергетики,1.1685739257119518
2015,м³/тыс.тенге,предприятиями электроэнергетики,0.8996677284860466
2016,м³/тыс.тенге,предприятиями электроэнергетики,3.0791654997299926
2017,м³/тыс.тенге,предприятиями электроэнергетики,2.588757941607464
2010,м³/тыс.тенге,прочими видами деятельности,0.2064853589458804
2011,м³/тыс.тенге,прочими видами деятельности,0.19117834985569146
2012,м³/тыс.тенге,прочими видами деятельности,0.1417698817669037
2013,м³/тыс.тенге,прочими видами деятельности,0.15209324773818045
2014,м³/тыс.тенге,прочими видами деятельности,0.05626999212210134
2015,м³/тыс.тенге,прочими видами деятельности,0.036882623717255585
2016,м³/тыс.тенге,прочими видами деятельности,0.08670208797904258
2017,м³/тыс.тенге,прочими видами деятельности,0.05950941072362735
